arr_line,dest_line,arr_station,dest_station
Сокольническая линия, Сокольническая линия, Черкизовская, Преображенская площадь
Сокольническая линия, Сокольническая линия, Преображенская площадь, Сокольники
Сокольническая линия, Сокольническая линия, Сокольники, Красносельская
Сокольническая линия, Сокольническая линия, Красносельская, Комсомольская
Сокольническая линия, Сокольническая линия, Комсомольская, Красные ворота
Сокольническая линия, Кольцевая линия, Комсомольская, Комсомольская
Сокольническая линия, Сокольническая линия, Красные ворота, Чистые пруды
Сокольническая линия, Сокольническая линия, Чистые пруды, Лубянка
Сокольническая линия, Калужско-Рижская линия, Чистые пруды, Тургеневская
Сокольническая линия, Люблинская линия, Чистые пруды, Сретенский бульвар
Сокольническая линия, Сокольническая линия, Лубянка, Охотный ряд
Сокольническая линия, Таганско-Краснопресненская линия, Лубянка, Кузнецкий мост
Сокольническая линия, Сокольническая линия, Охотный ряд, Библиотека имени Ленина
Сокольническая линия, Замоскворецкая линия, Охотный ряд, Театральная
Сокольническая линия, Сокольническая линия, Библиотека имени Ленина, Кропоткинская
Сокольническая линия, Арбатско-Покровская линия, Библиотека имени Ленина, Арбатская
Сокольническая линия, Филевская линия, Библиотека имени Ленина, Александровский сад
Сокольническая линия, Серпуховско-Тимирязевская линия, Библиотека имени Ленина, Боровицкая
Сокольническая линия, Сокольническая линия, Кропоткинская, Парк культуры
Сокольническая линия, Сокольническая линия, Парк культуры, Фрунзенская
Сокольническая линия, Кольцевая линия, Парк культуры, Парк культуры
Сокольническая линия, Сокольническая линия, Фрунзенская, Спортивная
Сокольническая линия, Сокольническая линия, Спортивная, Воробьёвы горы
Сокольническая линия, Сокольническая линия, Воробьёвы горы, Университет
Сокольническая линия, Сокольническая линия, Университет, Проспект Вернадского
Сокольническая линия, Сокольническая линия, Проспект Вернадского, Юго-Западная
Замоскворецкая линия, Замоскворецкая линия, Ховрино, Беломорская
Замоскворецкая линия, Замоскворецкая линия, Беломорская, Речной вокзал
Замоскворецкая линия, Замоскворецкая линия, Речной вокзал, Водный стадион
Замоскворецкая линия, Замоскворецкая линия, Водный стадион, Войковская
Замоскворецкая линия, Замоскворецкая линия, Войковская, Сокол
Замоскворецкая линия, Замоскворецкая линия, Сокол, Аэропорт
Замоскворецкая линия, Замоскворецкая линия, Аэропорт, Динамо
Замоскворецкая линия, Замоскворецкая линия, Динамо, Белорусская
Замоскворецкая линия, Замоскворецкая линия, Белорусская, Маяковская
Замоскворецкая линия, Кольцевая линия, Белорусская, Белорусская
Замоскворецкая линия, Замоскворецкая линия, Маяковская, Тверская
Замоскворецкая линия, Замоскворецкая линия, Тверская, Театральная
Замоскворецкая линия, Таганско-Краснопресненская линия, Тверская, Пушкинская
Замоскворецкая линия, Серпуховско-Тимирязевская линия, Тверская, Чеховская
Замоскворецкая линия, Замоскворецкая линия, Театральная, Новокузнецкая
Замоскворецкая линия, Арбатско-Покровская линия, Театральная, Площадь Революции
Замоскворецкая линия, Замоскворецкая линия, Новокузнецкая, Павелецкая
Замоскворецкая линия, Калужско-Рижская линия, Новокузнецкая, Третьяковская
Замоскворецкая линия, Калининская линия, Новокузнецкая, Третьяковская
Замоскворецкая линия, Замоскворецкая линия, Павелецкая, Автозаводская
Замоскворецкая линия, Кольцевая линия, Павелецкая, Павелецкая
Замоскворецкая линия, Замоскворецкая линия, Автозаводская, Коломенская
Замоскворецкая линия, Замоскворецкая линия, Коломенская, Каширская
Замоскворецкая линия, Замоскворецкая линия, Каширская, Кантемировская
Замоскворецкая линия, Каховская линия, Каширская, Каширская
Замоскворецкая линия, Замоскворецкая линия, Кантемировская, Царицыно
Замоскворецкая линия, Замоскворецкая линия, Царицыно, Орехово
Замоскворецкая линия, Замоскворецкая линия, Орехово, Домодедовская
Замоскворецкая линия, Замоскворецкая линия, Домодедовская, Красногвардейская
Замоскворецкая линия, Люблинская линия, Красногвардейская, Зябликово
Замоскворецкая линия, Замоскворецкая линия, Красногвардейская, Алма-Атинская
Арбатско-Покровская линия, Арбатско-Покровская линия, Щёлковская, Первомайская
